indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,male,Y025_029,294,458,260.77868439843934,0.09810522746236763,0.0163542281974937,0.07038925456217372,0.13514786509711454
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,male,Y030_034,243,355,222.12069032348757,0.20376456823436728,0.02860321864225775,0.153362881378733,0.2655353213509159
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,male,Y035_039,183,223,122.3876936538698,0.1841635844992596,0.03278228064465842,0.1283047583064866,0.257166651763687
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,male,Y040_044,181,228,143.71834066578418,0.16453974878309785,0.03036612632047295,0.11326824062971078,0.23292331679859068
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,male,Y045_049,108,128,70.23657843974794,0.09480675261529532,0.02706505349671751,0.05343200209971711,0.16271249713438207
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,male,Y050_054,112,132,92.34133636325832,0.10548248030156034,0.03163014097351974,0.05760789567770724,0.18531908052614293
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,female,Y015_049,502,2864,1795.844921547259,0.1331819407851074,0.00794763993868115,0.11836090372150884,0.14954405909793334
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,female,Y015_024,436,1236,751.407621415692,0.09098305064706697,0.00908857744263886,0.07466989397879072,0.11043480464436396
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,female,Y025_034,415,915,567.1475592859348,0.16667290658338643,0.0146697103215545,0.1398661727695863,0.19743807316226392
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,female,Y035_049,360,713,480.9295059377404,0.16358028916224368,0.01543303281380311,0.1355323071313305,0.1961158982822789
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,female,Y025_049,468,1628,1045.9450339332143,0.16532337873952227,0.01115319634100503,0.14460525054729503,0.1883562420220743
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,female,Y015_019,310,545,352.25203915803405,0.03689676053205051,0.00883232752847913,0.02299564500328551,0.05869639310974602
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,female,Y020_024,360,691,403.02588674549605,0.13188233423791762,0.01550449267863665,0.10434605439614608,0.1653437947177306
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,female,Y025_029,316,527,338.8680789039922,0.155416112608967,0.01800074740231498,0.12330267431003653,0.19404212740149487
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,female,Y030_034,265,388,231.73943249210876,0.18074151193564467,0.02264963356857684,0.14050150081998147,0.22942998928437505
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,female,Y035_039,210,277,197.91404834232895,0.17002205269371737,0.02440289936970295,0.12737093515588235,0.22330052816808285
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,female,Y040_044,189,245,158.72575310369675,0.17890917633085884,0.02929954122872642,0.12845678212737424,0.2436377455190353
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,female,Y045_049,149,191,125.79939337357624,0.1332071387928563,0.02572665998975644,0.09033099198408669,0.19213617084899295
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,both,Y015_049,59,818,682.9000358968328,0.08084591142379009,0.01421433426241402,0.05701049367688683,0.11344774622498952
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,both,Y015_024,59,381,320.7521139136476,0.05521357349013299,0.01370992292853978,0.03373623463243069,0.08910308454584587
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,both,Y025_034,57,233,189.46947383353248,0.08163347640901927,0.02150543874922983,0.04821887214751304,0.1349212026037206
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,both,Y035_049,53,204,172.77406905399636,0.1288506809593882,0.03264485114327335,0.07718878730705488,0.20732135418081424
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,both,Y025_049,58,437,362.173282777588,0.10382550745882954,0.0194470629715848,0.07142080883921317,0.1485801876541609
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,both,Y015_019,51,192,161.44911948149715,0.03629755179053524,0.01489656303872182,0.01608423798809493,0.07985167151986156
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,both,Y020_024,58,189,159.35183124825113,0.07485747750986833,0.02564525948912206,0.03768236269362593,0.1432479918271896
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,both,Y025_029,50,140,113.60310466628648,0.07912332582480072,0.02659702736347506,0.0403196374312389,0.14945586636785446
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,both,Y030_034,44,93,75.88766118112127,0.08531089359656079,0.02514971068000108,0.04724681015077901,0.14923757625353795
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,both,Y035_039,41,71,60.11805457096834,0.2066345112978395,0.06779768960795499,0.10378159357395016,0.36940520534899457
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,both,Y040_044,42,82,69.15899836944382,0.08509469894773734,0.0394236557574381,0.0333252645958327,0.20059730512178023
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,both,Y045_049,32,51,43.92645640370835,0.08312417995296882,0.03258729056663824,0.03773636449683509,0.17327265399038297
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,male,Y015_049,59,370,303.44103749573765,0.05395285117747928,0.01203159690321221,0.03468375914069263,0.08300664803514379
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,male,Y015_024,50,156,128.89783790275064,0.00703307993042556,0.00703582923961738,9.82241696061284e-4,0.04854714143482949
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,male,Y025_034,48,124,99.20965819756164,0.0817864281710933,0.02593713347625606,0.0433035798873157,0.14913689843946085
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,male,Y035_049,46,90,75.56897392864619,0.0999458626769156,0.03750668493709491,0.04675205797893528,0.2009069178532547
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,male,Y025_049,56,214,174.5760310444447,0.0893315439493597,0.02022440354143431,0.0568353756187013,0.1376951628120639
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,male,Y015_019,38,81,68.28207217508438,0,0,,
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,male,Y020_024,43,75,60.63565527653287,0.01475851578348671,0.01457145095751924,0.00209694376136582,0.0964804082173319
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,male,Y025_029,40,73,58.29171106088086,0.0733471949603143,0.03128745608521807,0.03111048183756345,0.16326351934026417
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,male,Y030_034,31,51,40.927439743700205,0.09404782689975254,0.03749786287255214,0.04197637719362907,0.1974037426783598
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,male,Y035_039,25,32,26.435894010566273,0.238806076567885,0.08511917232643147,0.11135165775219338,0.4399255188427713
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,male,Y040_044,26,33,28.09097725349693,0,0,,
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,male,Y045_049,21,25,21.49170525236928,0.03027327930033361,0.03044074664067989,0.0040738670521195,0.1924113522498343
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,male,Y050_054,19,24,22.209622335120475,0.11809912274026552,0.07940647995512595,0.02917441624636831,0.3737281024671545
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,female,Y015_049,59,448,380.569046881177,0.10409380817158514,0.01872476080917944,0.07269078913529001,0.14691386706624696
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,female,Y015_024,56,225,192.4142331209986,0.09033842243971324,0.02141181414652849,0.05624283779205332,0.14199362648458924
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,female,Y025_034,50,109,91.00364998026087,0.08144435384849794,0.02366053300452371,0.04553105934516243,0.14148571496614704
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,female,Y035_049,48,114,97.22913381619432,0.15185605806650937,0.03955862269646724,0.08930871348026542,0.2463583792820704
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,female,Y025_049,56,223,188.1814284631695,0.11839585544978191,0.02588711155129695,0.07629362371000242,0.17922397790322409
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,female,Y015_019,41,111,93.2399920016758,0.06404415264816213,0.02485105738999309,0.02946739547497967,0.13360762493974204
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,female,Y020_024,49,114,99.3494496604483,0.11655067320936316,0.04201153979346798,0.05597776266652885,0.226913793885232
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,female,Y025_029,39,67,56.08980210314717,0.08621180139881142,0.03390504588865045,0.0390034385645683,0.1798649902327221
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,female,Y030_034,30,42,35.04747736973577,0.07438774939465635,0.03599330279936318,0.02803874661368032,0.18293321372963775
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,female,Y035_039,27,39,33.9032623687272,0.17830921409329265,0.0761941486723537,0.07262081868414624,0.37552669614289247
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,female,Y040_044,33,49,41.24237690872985,0.137362234099269,0.06155308080393886,0.05439767661628403,0.30592371378883765
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_1_demo,Northern,all,female,Y045_049,19,26,22.53879792069016,0.13867137775781996,0.06028247677298818,0.05648870090428814,0.302131019250752
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,both,Y015_049,183,1802,860.6230278356788,0.06482520088013032,0.00857046241868036,0.04991994002676722,0.0837884334911853
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,both,Y015_024,169,708,328.0675938092408,0.02713420305637198,0.0063386705205112,0.01712272924712263,0.04274470751887623
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,both,Y025_034,168,617,296.25051518428,0.08108320904054955,0.01512901091310716,0.05595158156658868,0.11611472151439704
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,both,Y035_049,158,477,236.91830523341395,0.09537966319279433,0.01683011876062205,0.0671097802628899,0.1338495548935728
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,both,Y025_049,178,1094,532.7942576524426,0.08724761147657417,0.01254715763616297,0.06558820855741203,0.11517801340270505
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,both,Y015_019,139,325,162.33179533691313,0.00678299630887809,0.00418729495733159,0.00201579713944936,0.02256927958104501
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,both,Y020_024,143,383,168.73043470061566,0.04329228559312387,0.01054276015328603,0.02674177569731071,0.06935597950312432
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,both,Y025_029,146,355,166.00520201457505,0.04110241079544879,0.01140983377189771,0.02372730125308915,0.07028501901635573
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,both,Y030_034,129,262,130.25519661712073,0.13144807900344013,0.02907609959106462,0.08414095591916818,0.19955757313742464
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,both,Y035_039,115,186,87.95859198885827,0.1033703173323335,0.02715994364194501,0.0609586546532141,0.1699493181421853
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,both,Y040_044,104,178,94.00372300207007,0.1187420718410224,0.02824039867145835,0.07355354730232222,0.18611553661879324
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,both,Y045_049,80,113,56.01575173357376,0.04884609369498191,0.01739428021019646,0.0240612991008723,0.09663306278995304
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,male,Y015_049,180,826,385.4759806891183,0.06377235362792537,0.012930514487962,0.04265530693639523,0.09431374850204986
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,male,Y015_024,125,298,140.14386899903965,0.01193479206968702,0.0070000200993473,0.00375936530646091,0.03722486142331339
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,male,Y025_034,142,298,141.53039442764944,0.09333461035015138,0.02375709471219412,0.05605038149824904,0.15144105324628984
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,male,Y035_049,133,230,105.82723768848726,0.08317355273161818,0.02105230553873302,0.0501595034338447,0.1348323127835093
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,male,Y025_049,173,528,247.3459202842912,0.08895280223542791,0.01835551789901014,0.05894379469149956,0.13209521043075792
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,male,Y015_019,88,146,73.88704080867193,0,0,,
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,male,Y020_024,94,152,67.16750609670889,0.02310969513045576,0.01357570011186574,0.0072266080867042,0.07139128738608203
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,male,Y025_029,120,180,83.07914016286998,0.02590383703550747,0.00985303884336518,0.01221916414533004,0.05407544825391128
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,male,Y030_034,83,118,58.62119080506705,0.19591191676077443,0.05354995971368069,0.1112236923818052,0.3217403839730104
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,male,Y035_039,76,92,41.14775588204196,0.0980961206369886,0.03693293956181222,0.04579332064147317,0.19775610219499193
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,male,Y040_044,65,82,41.056488449202995,0.0775995674505299,0.03396173317137067,0.03212816557223891,0.17574171117167542
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,male,Y045_049,47,56,25.278973296318338,0.06456224357472423,0.02799594708850992,0.02706866445992468,0.1461860830521857
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,male,Y050_054,42,53,30.281033900095068,0.03602065729692786,0.02684984042501167,0.00814213106977011,0.1453649965501744
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,female,Y015_049,178,976,482.7716318670407,0.0658397427750414,0.00914992475902656,0.05002070066276025,0.08620757017256288
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,female,Y015_024,158,410,187.9355809642795,0.03860689040154444,0.00994170802190456,0.0232044513918075,0.06356768476844933
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,female,Y025_034,146,319,158.2713654274789,0.06744747841351759,0.01612959551026395,0.04191920952558,0.1067893130640606
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,female,Y035_049,125,247,140.0943208347709,0.10897100621644014,0.02324754378182653,0.07105702289920966,0.16355306656166413
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,female,Y025_049,163,566,296.6085825395205,0.08534938253798335,0.01398143788933074,0.061640211546586,0.1170405444083121
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,female,Y015_019,113,179,88.59673485038854,0.01279740651159006,0.00789225048228215,0.00379591991962721,0.04223957297939686
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,female,Y020_024,123,231,101.56306301165516,0.05666415263631141,0.01546783386983931,0.03294432651871382,0.09577087509445642
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,female,Y025_029,106,175,87.5156725826586,0.06125809535553972,0.020154266042299,0.03178796526946154,0.1148097889768432
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,female,Y030_034,102,144,71.91295797291987,0.07379694829162613,0.02271154817947775,0.03988587776737328,0.13255868773523138
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,female,Y035_039,70,94,55.667489460903525,0.1107101376940671,0.03377087520012071,0.05975978187993543,0.19604278233452171
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,female,Y040_044,71,96,53.39794477567484,0.15507994193473168,0.04557840257775021,0.08493815700148954,0.2662887459270598
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_2_demo,Central,all,female,Y045_049,47,57,32.47341966916824,0.0314710717816069,0.01798554539510399,0.01011855077853289,0.093620863709785
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,both,Y015_049,270,2516,1948.5359781737336,0.17582314259581758,0.01016398214409643,0.15678071670821528,0.1966390790361289
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,both,Y015_024,249,1027,795.3566976932116,0.08806428795929197,0.01006691855620266,0.07022824776577545,0.10989478185774323
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,both,Y025_034,251,878,687.3757593756983,0.23822484521984227,0.01944550009107695,0.20222382420568688,0.27839839767754665
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,both,Y035_049,221,611,466.15582062429655,0.23142099869586744,0.01993489332911382,0.19466553584308996,0.27276584148946637
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,both,Y025_049,264,1489,1153.2890310256955,0.23542691069972244,0.01481624567554636,0.2076341405562597,0.26569243282375826
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,both,Y015_019,202,483,381.6327111071732,0.02547789923505349,0.00746849980536431,0.01429153402259298,0.04502022477360448
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,both,Y020_024,218,544,413.97598838698167,0.1437397428249241,0.01681555384866381,0.1138152320770338,0.17993454957546992
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,both,Y025_029,206,490,382.1802242446692,0.21305878473368509,0.02179798751211323,0.17344597314474258,0.2588850211994717
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,both,Y030_034,199,388,305.27024898525315,0.2690777810234038,0.02713213374991364,0.2193100085147997,0.32543148806366967
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,both,Y035_039,153,243,187.424738551604,0.23466655191787664,0.03300183434135902,0.17620164175334294,0.3053402725755987
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,both,Y040_044,142,213,162.54660587577072,0.2551793468024253,0.03576493001946245,0.19154665706421117,0.3312887229336557
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,both,Y045_049,114,155,116.47195986352556,0.19116873161186113,0.03614477645722937,0.13004107422031197,0.27204492612018844
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,male,Y015_049,260,1076,836.2811989095835,0.15100068718677612,0.01394107741542101,0.12565767233793748,0.18040036745977944
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,male,Y015_024,201,426,331.45401060477167,0.03235399345089865,0.00985098076689475,0.01772592785091268,0.05833673277588801
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,male,Y025_034,194,391,308.5877751530083,0.20975848424800836,0.02652349180123757,0.16246524117442915,0.26643909345400035
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,male,Y035_049,159,259,197.0413041834039,0.2498856977720292,0.0313759639445132,0.19351981789073391,0.3162315609859377
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,male,Y025_049,240,650,505.0990438546863,0.22602979987646404,0.02051696713472643,0.1883555903747916,0.26874439580594894
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,male,Y015_019,141,228,183.30511844935452,0.00819712206645092,0.0059574682789788,0.00196172356522392,0.03358498313890876
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,male,Y020_024,139,198,148.6448620626144,0.05992173608254686,0.01969227546023973,0.03112604827629269,0.1122702799400787
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,male,Y025_029,134,205,160.11498541277547,0.18509158216394117,0.03364319147252299,0.12792910865757848,0.2601757019183376
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,male,Y030_034,129,186,148.49911026335027,0.23586793923465135,0.03827798514255341,0.16914149344280918,0.31881711077909464
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,male,Y035_039,82,99,75.46791293133172,0.2679738235466661,0.05490475457280717,0.1745804950195351,0.3878525082707249
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,male,Y040_044,90,113,86.59502329830109,0.2709513713185895,0.05002190309081016,0.18450487503680635,0.37907350292992903
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,male,Y045_049,40,47,35.087061693688604,0.16404789237832806,0.05920105455771998,0.07766381829439269,0.31382320341421743
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,male,Y050_054,51,55,45.2305026094719,0.16947604376943476,0.05872055948075228,0.0826393533579445,0.3161167303465977
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,female,Y015_049,265,1440,1130.3751131891054,0.1980936006849222,0.01165648388698532,0.176234125512076,0.22193396816318017
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,female,Y015_024,222,601,468.8300677473411,0.13418998659743048,0.01436996052252644,0.10843526291939212,0.1649301838121319
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,female,Y025_034,219,487,384.70127145324847,0.2657067400964036,0.02245886987703701,0.22406576954354496,0.31197494116456304
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,female,Y035_049,187,352,276.97398812703193,0.2143985542442606,0.0218905794816166,0.17460387691308463,0.2604016060026562
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,female,Y025_049,249,839,661.6650906069167,0.24432861738282585,0.01644789465035722,0.2135437699132474,0.27798279694827405
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,female,Y015_019,156,255,200.17697272541815,0.04366484566181007,0.01387589719938883,0.0232518495716664,0.08052123284099573
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,female,Y020_024,188,346,268.76321682537616,0.19955195857127,0.02420616410263334,0.15628724782730632,0.2512272728885667
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,female,Y025_029,171,285,224.94501115999873,0.2367488894716899,0.02787295741146445,0.18650022288903736,0.29561630715652143
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,female,Y030_034,133,202,159.75904410925952,0.30670346456451214,0.03594123738896079,0.24106259267611144,0.3812395708511281
prevalence,DEMO2004DHS,CY2004Q4,MWI_1_3_demo,Southern,all,female,Y035_039,113,144,113.7515799217622,0.20777043354957167,0.03532495734251692,0.14691032698650597,0.2854078901126181
